star	name	x/r	y/th	mass	type	coordinates
0	Unknown	21	24	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	47	27	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	26	44	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	40	46	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	11	60	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	24	61	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	39	66	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	31	79	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	27	93	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	48	84	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	55	101	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	63	117	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	59	138	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	76	125	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	4	184	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	21	187	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	1	209	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	19	202	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	41	218	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	40	204	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	39	190	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	79	193	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	60	192	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
0	Unknown	62	178	10	black	60:60;0:0
2	Unknown	3	0	16	unknown	128:128:128
